,Champion,Result,Date,Game,player,Tournament,duration_minutes,K,D,A,match_result,match_type
0,Maokai,Defeat,2024-10-26,WBG vs BLG,Crisp,Worlds Main Event 2024,27.75,0,5,6,Defeat,BO5
1,Renata Glasc,Defeat,2024-10-26,WBG vs BLG,Crisp,Worlds Main Event 2024,31.616666666666667,1,3,9,Defeat,BO5
2,Renata Glasc,Defeat,2024-10-26,WBG vs BLG,Crisp,Worlds Main Event 2024,39.28333333333333,0,3,8,Defeat,BO5
3,Rakan,Victory,2024-10-17,LNG Esports vs WBG,Crisp,Worlds Main Event 2024,30.616666666666667,1,1,17,Victory,BO5
4,Braum,Victory,2024-10-17,LNG Esports vs WBG,Crisp,Worlds Main Event 2024,37.75,1,3,15,Victory,BO5
5,Renata Glasc,Defeat,2024-10-17,LNG Esports vs WBG,Crisp,Worlds Main Event 2024,43.416666666666664,1,4,11,Victory,BO5
6,Rakan,Victory,2024-10-17,LNG Esports vs WBG,Crisp,Worlds Main Event 2024,31.533333333333335,0,2,10,Victory,BO5
7,Braum,Victory,2024-10-13,Dplus KIA vs WBG,Crisp,Worlds Main Event 2024,35.083333333333336,0,2,16,Victory,BO3
8,Alistar,Victory,2024-10-13,Dplus KIA vs WBG,Crisp,Worlds Main Event 2024,29.9,0,2,12,Victory,BO3
9,Lux,Defeat,2024-10-13,Dplus KIA vs WBG,Crisp,Worlds Main Event 2024,43.06666666666667,1,5,15,Victory,BO3
10,Rakan,Victory,2024-10-12,WBG vs Fnatic,Crisp,Worlds Main Event 2024,26.516666666666666,1,2,7,Victory,BO3
11,Rakan,Victory,2024-10-12,WBG vs Fnatic,Crisp,Worlds Main Event 2024,29.466666666666665,0,3,18,Victory,BO3
12,Leona,Defeat,2024-10-12,WBG vs Fnatic,Crisp,Worlds Main Event 2024,36.05,1,4,5,Victory,BO3
13,Leona,Defeat,2024-10-06,WBG vs G2 Esports,Crisp,Worlds Main Event 2024,35.63333333333333,0,4,6,Defeat,BO1
14,Renata Glasc,Victory,2024-10-04,WBG vs Team Liquid,Crisp,Worlds Main Event 2024,42.233333333333334,0,4,9,Victory,BO1
15,Poppy,Defeat,2024-10-03,GEN vs WBG,Crisp,Worlds Main Event 2024,45.21666666666667,0,5,6,Defeat,BO1
16,Rell,Victory,2024-09-02,WBG vs JD Gaming,Crisp,LPL Regional Finals 2024,26.75,0,3,13,Victory,BO5
17,Rell,Defeat,2024-09-02,WBG vs JD Gaming,Crisp,LPL Regional Finals 2024,32.25,0,5,4,Victory,BO5
18,Rell,Victory,2024-09-02,WBG vs JD Gaming,Crisp,LPL Regional Finals 2024,37.45,3,3,15,Victory,BO5
19,Rell,Victory,2024-09-02,WBG vs JD Gaming,Crisp,LPL Regional Finals 2024,23.45,1,2,14,Victory,BO5
20,Rell,Defeat,2024-09-02,WBG vs JD Gaming,Crisp,LPL Regional Finals 2024,37.68333333333333,1,6,8,Victory,BO5
21,Alistar,Defeat,2024-08-31,WBG vs LNG Esports,Crisp,LPL Regional Finals 2024,34.666666666666664,0,8,2,Defeat,BO5
22,Braum,Defeat,2024-08-31,WBG vs LNG Esports,Crisp,LPL Regional Finals 2024,28.55,0,6,4,Defeat,BO5
23,Poppy,Defeat,2024-08-31,WBG vs LNG Esports,Crisp,LPL Regional Finals 2024,27.883333333333333,1,3,3,Defeat,BO5
24,Alistar,Defeat,2024-08-30,BLG vs WBG,Crisp,LPL Summer Playoffs 2024,39.45,2,4,12,Defeat,BO5
25,Leona,Defeat,2024-08-30,BLG vs WBG,Crisp,LPL Summer Playoffs 2024,25.083333333333332,0,8,2,Defeat,BO5
26,Rell,Defeat,2024-08-30,BLG vs WBG,Crisp,LPL Summer Playoffs 2024,25.016666666666666,0,2,5,Defeat,BO5
